Stkcd,other_receivables,fix_assets_net,intangible_assets_net,ttl_assets,ttl_current_assets,net_assets,total_liab,current_liab,year,retained_earnings
000028,474787643.28,487009600.1,320435400.89,21312754511.97,17684977769.89,8913983534.11,12398770977.86,12135715269.5,2016,4870505614.01
000028,657871058.54,551710434.02,325751430.88,22343643527.77,18320779382.33,9927502757.14,12416140770.63,12130238264.63,2017,5787016297.89
000028,643493359.32,607933827.67,319207126.15,28930300519.97,24495616328.75,13905776493.05,15024524026.92,14757972539.94,2018,6869320638.77
000028,477988244.98,612599944.11,319946727.04,33520609123.67,26652454964.54,15359837840.23,18160771283.44,16730452924.27,2019,7969359028.58
000029,56894335.01,63204808.66,5866106.75,3712770828.3,3058378095.19,1507111497.78,2205659330.52,1344887127.65,2012,-364180014.21000004
000029,54672501.81,60715687.71,6753566.79,4215099296.67,3578794485.45,1735004635.01,2480094661.66,1655131239.28,2013,-135911742.98
000029,59528298.21,54321296.22,6201226.83,4375098314.05,3770582204.12,2033104996.15,2341993317.9,1851740724.98,2014,162121573.51000002
000029,61673343.42,52213985.31,5654820,4179937120.75,3579181729.29,2203447796.43,1976489324.32,1583775370.09,2015,331735614.35
000029,67514794.65,45531813.41,5146080,3785600783.23,3227306037,2515966869.88,1269633913.35,1123477184.53,2016,643303001.29
000029,75903158.62,37937868.71,55200,3989263981.96,3208544440.97,2700022561.54,1289241420.42,1199139540.37,2017,828291513.71
000029,45018027.61,33926198.52,,4665891514.25,3823078273.89,3200735110.51,1465156403.74,1458649264.54,2018,1331790345.31
000029,28275228.26,30522035.11,,4909669536.09,4166705581.12,3524983234.15,1384686301.94,1372283815.44,2019,1656138655.75
000030,24438818.58,0,0,24606158.49,24606158.49,-1647432.79,26253591.28,26253591.28,2012,-1320425880.33
000030,185125820.02,1381764539.26,300686840.51,7110347411.96,3205611446.31,4247929789,2862417622.96,2212182587.15,2013,1990282838.35
000030,100879015.46,1376351587.56,252633351.74,7271114435,3246713798.09,4762242483.93,2508871951.07,1917561324.31,2014,2483957508.85
